"ID","Titulo","Ano","RandomForest","SVM","NeuralNetwork","KNN","DecisionTree","GradientBoosting","NIR","FTIR","GCMS","LCMS","ICPMS","NMR","Sensor","Wine","Coffee","Olive","Honey","Cheese","Authentication","Classification","OriginDetection","Europe","Asia","Americas","Cluster_KMeans","Cluster_Hierarquico"
1,"Multielement fingerprinting as a tool in origin authentication of pgi food products: Tropea red onion",2011,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,8,1
2,"Laser-based classification of olive oils assisted by machine learning",2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,7,2
3,"Pattern recognition in instrumental data analysis of fruit spirits: current status and future perspectives",2025,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,8,3
4,"Geographic origin discrimination of millet using vis-nir spectroscopy combined with machine learning techniques",2021,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,2,3
5,"Meat Authentication Based on Animal Species and Other Quality Meat Attributes (Protected Geographical Indication, Organic Production, and Halal and Kosher Products) by HPLC–UV Fingerprinting and Chemometrics",2025,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4
6,"Rapid authentication of Chinese oolong teas using atmospheric solids analysis probe-mass spectrometry (ASAP-MS) combined with supervised pattern recognition models",2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,3
7,"Promoting LC-QToF based non-targeted fingerprinting and biomarker selection with machine learning for the discrimination of black tea geographical origin",2025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,4
8,"A fast chemometric procedure based on NIR data for authentication of honey with protected geographical indication",2013,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,3
9,"Predicting agri-food quality across space: A Machine Learning model for the acknowledgment of Geographical Indications",2022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4
10,"1H NMR spectroscopy combined with multivariate data analysis for authentication of “Swabian–Hall Quality Pork” with protected geographical indication",2023,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,4
